MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
21.0,21.0,10.5,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,3.0,1.5
15.0,15.0,15.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
20.1666666667,20.1666666667,12.1,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.83333333333,2.3
15.7142857143,15.7142857143,13.75,1.14285714286,1.42857142857,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,2.14285714286,1.875
18.3333333333,18.3333333333,9.16666666667,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,1.0,0.5,3.33333333333,1.66666666667
12.0,12.0,8.57142857143,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.0,1.42857142857
18.5,18.5,18.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
18.5,18.5,12.3333333333,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.0,0.666666666667,3.16666666667,2.11111111111
19.5,19.5,19.5,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
23.5,23.5,11.75,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,2.0
16.5,16.5,16.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
19.5,19.5,11.7,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.83333333333,2.3
11.8571428571,11.8571428571,10.375,1.14285714286,1.14285714286,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,1.85714285714,1.625
14.6666666667,14.6666666667,7.33333333333,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.333333333333,0.166666666667,2.33333333333,1.16666666667
12.2,12.2,8.71428571429,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
20.5,20.5,20.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
18.0,18.0,12.0,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.0,0.666666666667,3.0,2.0
19.0,19.0,19.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0
21.0,21.0,10.5,2.0,2.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.5,2.25
16.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
20.0,20.0,12.0,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.83333333333,2.3
11.4285714286,11.4285714286,10.0,1.14285714286,1.14285714286,1.14285714286,0.0,0.0,1.0,0.0,0.571428571429,0.5,1.57142857143,1.375
15.0,15.0,7.5,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,2.33333333333,1.16666666667
11.6,11.6,8.28571428571,1.4,1.8,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
19.5,9.75,19.5,1.0,0.5,0.5,0.0,0.0,2.0,0.0,0.25,0.5,2.0,4.0
18.0,18.0,12.0,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.16666666667,0.777777777778,2.66666666667,1.77777777778
20.0,20.0,20.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
20.5,20.5,10.25,2.0,2.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,2.0
17.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
18.6666666667,18.6666666667,11.2,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.66666666667,2.2
11.8571428571,11.8571428571,10.375,1.14285714286,1.28571428571,1.14285714286,0.0,0.0,1.0,0.0,0.571428571429,0.5,1.57142857143,1.375
16.0,16.0,8.0,2.0,3.0,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,2.66666666667,1.33333333333
12.2,12.2,8.71428571429,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.2,0.142857142857,2.2,1.57142857143
19.0,19.0,19.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
17.1666666667,17.1666666667,11.4444444444,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.33333333333,0.888888888889,2.83333333333,1.88888888889
